ip.src,ip.id,vlan.id,frame.time_epoch,frame.len
15.15.15.0,0x0000056f,3,1673481127.458847301,1045
15.15.15.0,0x00000570,2,1673481127.458931061,1045
15.15.15.0,0x00000570,3,1673481127.459016194,1045
15.15.15.0,0x00000571,2,1673481127.459098342,1045
15.15.15.0,0x00000571,3,1673481127.459182143,1045
15.15.15.0,0x00000572,2,1673481127.459266028,1045
15.15.15.0,0x00000572,3,1673481127.459350242,1045
15.15.15.0,0x00000573,2,1673481127.459433471,1045
15.15.15.0,0x00000573,3,1673481127.459517217,1045
15.15.15.0,0x00000574,2,1673481127.459599991,1045
15.15.15.0,0x00000574,3,1673481127.459685092,1045
15.15.15.0,0x00000575,2,1673481127.459765745,1045
15.15.15.0,0x00000575,3,1673481127.459850194,1045
15.15.15.0,0x00000576,2,1673481127.459935315,1045
15.15.15.0,0x00000576,3,1673481127.460019167,1045
15.15.15.0,0x00000577,2,1673481127.460101833,1045
15.15.15.0,0x00000577,3,1673481127.460184648,1045
15.15.15.0,0x00000578,2,1673481127.460270009,1045
15.15.15.0,0x00000578,3,1673481127.460353383,1045
15.15.15.0,0x00000579,2,1673481127.460436140,1045
